motif, est_occurrences, est_frequency, samples, sampling_algo, spanning_trees, vertices
AENHLI, 7.7255e+16, 1.0957e-08, 1, N, 700, 46296 7359 167698 36698 34489 111372 125642
AHAOPI, 7.4284e+16, 1.0536e-08, 1, N, 728, 12779 159394 66171 127818 47968 150715 42605
CCEOPI, 7.4284e+16, 1.0536e-08, 1, N, 728, 154437 61969 108024 104584 87132 106000 165701
ABNPOI, 7.1533e+16, 1.0146e-08, 2, N, 1512, 94387 158128 59448 165326 32283 167147 71050
AFEPNI, 6.7768e+16, 9.6115e-09, 1, N, 798, 37874 36425 61780 153780 85877 9068 5507
ABNNHI, 6.4379e+16, 9.1310e-09, 1, N, 840, 109759 88666 16085 43222 61405 111372 64605
ADGOPI, 6.3847e+16, 9.0555e-09, 2, N, 1694, 108175 6435 84004 152754 32338 19797 117105
AIPHHI, 6.3066e+16, 8.9446e-09, 2, N, 1715, 81070 61353 6439 40868 132936 61862 60588
AEOOPI, 6.1804e+16, 8.7657e-09, 1, N, 875, 64475 52809 34823 9145 83848 54063 32283
IEMOPI, 6.1804e+16, 8.7657e-09, 1, N, 875, 10263 163571 70563 102569 153659 60588 119034
ACFLPI, 6.0356e+16, 8.5603e-09, 1, N, 896, 132842 84256 54568 89367 159097 137899 155127
AIKHPI, 5.7226e+16, 8.1164e-09, 1, N, 945, 59622 74172 163228 122250 125642 83691 60588
AEPDLI, 5.6805e+16, 8.0567e-09, 1, N, 952, 38035 68816 159801 83142 87789 93318 125642
ACNPPI, 5.4025e+16, 7.6623e-09, 3, N, 3003, 164709 84502 118277 60279 115200 42605 32338
AELHLI, 5.3650e+16, 7.6091e-09, 1, N, 1008, 54161 3326 61405 101017 37903 71050 6250
AGJFPI, 5.3650e+16, 7.6091e-09, 1, N, 1008, 83691 54864 27976 153342 121922 7329 125642
ACNPOI, 5.3096e+16, 7.5307e-09, 2, N, 2037, 155322 37527 3365 135723 78367 52703 123018
AGFPPI, 5.2555e+16, 7.4538e-09, 3, N, 3087, 1121 33243 98543 57127 37297 128194 8176
AFKHLI, 5.1162e+16, 7.2564e-09, 1, N, 1057, 133076 104511 32338 162137 27795 61862 125642
AAHPPA, 4.8285e+16, 6.8482e-09, 1, N, 1120, 130397 110074 18077 110608 135730 128864 125642
AGFOPI, 4.2920e+16, 6.0873e-09, 1, N, 1260, 49584 53031 51342 10808 77833 127794 149150
ABPPPI, 4.0876e+16, 5.7974e-09, 4, N, 5292, 95740 102647 129208 25820 152296 61862 125642
ACNPOA, 4.0876e+16, 5.7974e-09, 1, N, 1323, 38138 52025 134811 71970 92246 110345 26309
CAFPPI, 4.0237e+16, 5.7068e-09, 1, N, 1344, 11411 15971 85099 26470 89415 152296 125642
AGBPPI, 3.1151e+16, 4.4182e-09, 1, N, 1736, 154353 137816 39235 103235 32283 94979 61862
AKJPHI, 3.0060e+16, 4.2635e-09, 1, N, 1799, 48187 157309 78325 39190 155127 80488 152296
ACNNPI, 2.8299e+16, 4.0136e-09, 1, N, 1911, 111148 100367 28513 152945 126506 64605 61862
ABNPPI, 2.3844e+16, 3.3818e-09, 1, N, 2268, 6585 148484 16110 159092 5507 125642 61862
AIPLPA, 2.2789e+16, 3.2322e-09, 1, N, 2373, 165130 52271 26223 136706 3646 76961 32338
CINPPA, 2.0119e+16, 2.8534e-09, 1, N, 2688, 90697 5043 113729 64605 122864 65530 52703
BBNPHI, 1.7400e+16, 2.4678e-09, 1, N, 3108, 11763 35350 87194 46019 61862 78367 163650
ABPNPI, 1.5060e+16, 2.1359e-09, 1, N, 3591, 31495 129190 68058 4469 60588 6250 61862
IFGOPI, 1.4828e+16, 2.1031e-09, 1, N, 3647, 32807 144643 72397 61862 166835 71050 23195
AFNPPI, 1.4307e+16, 2.0291e-09, 1, N, 3780, 22732 53809 98785 61265 155127 78899 152296
MBEPPI, 1.3796e+16, 1.9566e-09, 1, N, 3920, 129582 145456 14793 163469 77138 92123 125642
ADPPPI, 1.1679e+16, 1.6564e-09, 2, N, 9261, 121863 75484 75178 58772 61862 125642 5507
BHJOPI, 8.8191e+15, 1.2508e-09, 1, N, 6132, 46413 63547 106892 20743 23074 164118 52722
BFPPPI, 3.4169e+15, 4.8461e-10, 1, N, 15827, 44224 59616 137538 5507 61405 52703 78367
